Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Day,Month
2024-07-09,05:55:00,CNR1532212366,Success,CID529773,"Prime Sedan","Ramamurthy Nagar","Richmond Town",217,55,,,No,,159,Cash,31,4.4,3.6,Tuesday,July
2024-07-09,07:03:00,CNR8306765948,Success,CID758277,Bike,Yelahanka,"Rajarajeshwari Nagar",63,125,,,No,,274,UPI,4,4.4,3.5,Tuesday,July
2024-07-02,20:15:00,CNR8138086706,Success,CID880299,Mini,"BTM Layout","Richmond Town",154,30,,,No,,326,"Credit Card",28,3,3.2,Tuesday,July
2024-07-30,19:31:00,CNR1394449988,Success,CID145819,Bike,Kammanahalli,Indiranagar,175,145,,,No,,513,UPI,39,4.1,3.5,Tuesday,July
2024-07-19,00:48:00,CNR6905892667,Success,CID346688,"Prime SUV","Magadi Road",Yelahanka,224,125,,,No,,146,UPI,10,3.1,3.1,Friday,July
2024-07-14,11:51:00,CNR1313721997,Success,CID547420,eBike,"Langford Town","Sahakar Nagar",238,120,,,No,,479,UPI,37,4.9,4.2,Sunday,July
2024-07-01,13:09:00,CNR5992333952,Success,CID995821,"Prime SUV","JP Nagar","RT Nagar",119,80,,,No,,234,UPI,7,5,4.4,Monday,July
2024-07-27,10:04:00,CNR4215773381,Success,CID537088,"Prime SUV",Devanahalli,Marathahalli,189,80,,,No,,276,Cash,25,3.4,3.6,Saturday,July
2024-07-30,10:32:00,CNR7335516667,Success,CID403016,"Prime Plus",Chickpet,Marathahalli,231,30,,,No,,224,Cash,11,3.5,3.8,Tuesday,July
2024-07-29,02:40:00,CNR6842810635,Success,CID667410,"Prime SUV",Majestic,Nagarbhavi,119,90,,,No,,227,Cash,9,3.7,5,Monday,July
2024-07-26,01:46:00,CNR7316494880,Success,CID357051,Mini,"BTM Layout","Hosur Road",126,25,,,No,,201,Cash,15,4.5,3.6,Friday,July
2024-07-14,07:56:00,CNR3386898532,Success,CID730594,Auto,Yelahanka,"MG Road",70,60,,,No,,330,UPI,13,3.1,4.9,Sunday,July
2024-07-17,07:36:00,CNR5038496351,Success,CID691487,Bike,Hulimavu,Majestic,35,125,,,No,,2860,UPI,21,4.3,3.3,Wednesday,July
2024-07-19,02:15:00,CNR8602102956,Success,CID298871,eBike,Kammanahalli,"RT Nagar",231,55,,,No,,335,UPI,41,3.3,4.3,Friday,July
2024-07-28,19:43:00,CNR6031824990,Success,CID138622,eBike,Hebbal,Kengeri,259,55,,,No,,406,"Credit Card",9,4.9,4.9,Sunday,July
2024-07-17,06:04:00,CNR1331120741,Success,CID190565,Auto,Vijayanagar,"HSR Layout",280,55,,,No,,1181,Cash,5,4,4.9,Wednesday,July
2024-07-22,22:43:00,CNR2137060823,Success,CID502308,Auto,"RT Nagar","BTM Layout",147,90,,,No,,144,UPI,17,4.4,3.2,Monday,July
2024-07-29,08:13:00,CNR3671165430,Success,CID183316,"Prime Plus",Kammanahalli,"KR Puram",161,35,,,No,,145,Cash,34,3.4,4.2,Monday,July
2024-07-18,20:22:00,CNR9773795247,Success,CID182342,"Prime Sedan",Marathahalli,Devanahalli,287,60,,,No,,275,Cash,24,3.8,4.3,Thursday,July
2024-07-05,10:19:00,CNR9288899841,Success,CID255236,"Prime Sedan","Sarjapur Road","Frazer Town",266,50,,,No,,835,"Credit Card",26,3.7,4,Friday,July
2024-07-26,12:53:00,CNR4589986533,Success,CID958434,"Prime SUV","Electronic City",Yelahanka,196,105,,,No,,1498,"Credit Card",16,4.8,5,Friday,July
2024-07-13,08:34:00,CNR8738990755,Success,CID195972,Bike,"KR Puram","BTM Layout",70,45,,,No,,281,UPI,15,3.9,4.8,Saturday,July
2024-07-27,04:09:00,CNR2348263751,Success,CID184974,"Prime Sedan","Tumkur Road",Kengeri,42,55,,,No,,1370,Cash,6,4.2,4,Saturday,July
2024-07-16,20:24:00,CNR1246716691,Success,CID360549,"Prime SUV","Sahakar Nagar","Langford Town",259,125,,,No,,313,Cash,19,4.3,3.1,Tuesday,July
2024-07-29,05:48:00,CNR2219323086,Success,CID565043,Auto,Ulsoor,"Hosur Road",245,135,,,No,,732,Cash,4,4,3,Monday,July
2024-07-13,02:51:00,CNR9615452155,Success,CID486877,Mini,Koramangala,"RT Nagar",224,25,,,No,,688,UPI,16,4,4.1,Saturday,July
2024-07-02,15:00:00,CNR7387627386,Success,CID753192,Mini,"RT Nagar","Langford Town",70,85,,,No,,979,UPI,7,4.5,3.5,Tuesday,July
2024-07-26,16:45:00,CNR5513461012,Success,CID680092,Bike,Padmanabhanagar,"Cox Town",168,75,,,No,,270,Cash,39,3.9,3,Friday,July
2024-07-01,22:50:00,CNR4222360610,Success,CID541159,"Prime SUV","Frazer Town","Tumkur Road",210,95,,,No,,207,UPI,7,4,4.7,Monday,July
2024-07-02,14:30:00,CNR4659668670,Success,CID745481,"Prime Plus",Koramangala,Nagarbhavi,147,55,,,No,,319,Cash,39,3.8,3.3,Tuesday,July
2024-07-10,15:21:00,CNR2650854550,Success,CID743253,"Prime Sedan","Tumkur Road","Cox Town",133,130,,,No,,1579,Cash,39,4.8,4,Wednesday,July
2024-07-20,06:08:00,CNR7553714060,Success,CID176724,"Prime Plus","KR Puram",Bellandur,154,25,,,No,,391,"Debit Card",16,4.1,3.6,Saturday,July
2024-07-13,14:20:00,CNR8924167055,Success,CID958006,"Prime SUV","Langford Town","Hosur Road",98,50,,,No,,1946,UPI,44,3.5,3.6,Saturday,July
2024-07-05,12:01:00,CNR9339026934,Success,CID646215,eBike,Malleshwaram,"Richmond Town",266,30,,,No,,105,Cash,26,3.8,3.4,Friday,July
2024-07-20,07:46:00,CNR7977310818,Success,CID543931,Bike,Kammanahalli,Varthur,224,80,,,No,,739,Cash,43,4.6,3.8,Saturday,July
2024-07-22,03:40:00,CNR5107405292,Success,CID533991,"Prime Plus","Hosur Road",Kammanahalli,56,80,,,No,,157,Cash,46,4.1,4.7,Monday,July
2024-07-07,23:01:00,CNR3178839354,Success,CID914427,"Prime Sedan",Ulsoor,"Frazer Town",63,30,,,No,,380,Cash,46,3.1,3.1,Sunday,July
2024-07-13,06:49:00,CNR8068210130,Success,CID125949,Mini,Indiranagar,Varthur,196,30,,,No,,302,Cash,30,3.3,4.3,Saturday,July
2024-07-17,16:22:00,CNR8366993625,Success,CID791962,"Prime SUV",Yelahanka,Kengeri,126,145,,,Yes,"Vehicle Breakdown",149,UPI,11,4.9,3.8,Wednesday,July
2024-07-30,04:57:00,CNR4803963845,Success,CID289582,"Prime Plus","Mysore Road","Ramamurthy Nagar",147,100,,,No,,2685,UPI,18,4.6,3.1,Tuesday,July
2024-07-06,14:33:00,CNR8591926144,Success,CID762698,"Prime SUV",Kengeri,Whitefield,56,110,,,Yes,"Customer Demand",912,UPI,38,4.1,4.7,Saturday,July
2024-07-14,03:12:00,CNR9365242211,Success,CID572243,Bike,"Tumkur Road","Sarjapur Road",168,120,,,No,,168,UPI,41,3.1,4.7,Sunday,July
2024-07-07,05:05:00,CNR4636487800,Success,CID802421,"Prime Plus",Banashankari,Malleshwaram,301,85,,,No,,130,Cash,17,3.9,4.9,Sunday,July
2024-07-17,00:24:00,CNR4136575670,Success,CID820578,eBike,Ulsoor,Hebbal,231,130,,,No,,430,UPI,6,4.8,3.2,Wednesday,July
2024-07-26,09:26:00,CNR7558590122,Success,CID728744,Mini,Yeshwanthpur,Varthur,308,40,,,No,,225,UPI,5,4.8,3.5,Friday,July
2024-07-13,21:23:00,CNR7383413243,Success,CID294150,Auto,Hebbal,"Richmond Town",63,55,,,No,,443,UPI,18,4.7,3.1,Saturday,July
2024-07-07,20:04:00,CNR8703320313,Success,CID722130,"Prime SUV","Ramamurthy Nagar","Mysore Road",203,125,,,No,,991,Cash,1,3.4,4.5,Sunday,July
2024-07-06,09:52:00,CNR7611104667,Success,CID697509,eBike,Malleshwaram,Hebbal,42,135,,,Yes,"Vehicle Breakdown",246,UPI,19,4.1,4.3,Saturday,July
2024-07-11,10:00:00,CNR2359086837,Success,CID390753,"Prime Plus",Indiranagar,Basavanagudi,287,130,,,No,,109,UPI,34,4.5,3.2,Thursday,July
2024-07-19,03:16:00,CNR1696042267,Success,CID979785,Mini,Yeshwanthpur,"Hosur Road",112,100,,,No,,181,Cash,16,3.7,4.5,Friday,July
2024-07-24,19:57:00,CNR4989273106,Success,CID778032,"Prime Sedan","RT Nagar",Chamarajpet,112,25,,,No,,111,UPI,30,4.1,3.5,Wednesday,July
2024-07-29,10:18:00,CNR2465324072,Success,CID174047,Mini,Yeshwanthpur,Jayanagar,182,65,,,No,,153,UPI,40,3.7,4.9,Monday,July
2024-07-19,08:26:00,CNR1715568108,Success,CID759512,"Prime Plus","Magadi Road",Shivajinagar,119,30,,,No,,173,Cash,21,4.7,3.1,Friday,July
2024-07-13,10:34:00,CNR6072785492,Success,CID559774,"Prime SUV",Hebbal,Basavanagudi,266,35,,,No,,105,Cash,44,4.9,3.4,Saturday,July
2024-07-24,20:00:00,CNR9781976319,Success,CID611942,eBike,Ulsoor,Kadugodi,196,75,,,No,,369,UPI,27,4.2,3.1,Wednesday,July
2024-07-24,01:33:00,CNR6772854421,Success,CID280501,"Prime Plus",Koramangala,"Magadi Road",168,90,,,No,,422,Cash,3,4.3,3.8,Wednesday,July
2024-07-15,00:14:00,CNR8959580650,Success,CID424242,eBike,Marathahalli,"Ramamurthy Nagar",63,90,,,No,,838,UPI,46,4.3,4.6,Monday,July
2024-07-17,03:39:00,CNR7942941051,Success,CID272597,Mini,Banashankari,"Electronic City",189,115,,,No,,928,Cash,5,3.3,4.5,Wednesday,July
2024-07-27,21:49:00,CNR7700283609,Success,CID693664,"Prime Sedan",Ulsoor,"Richmond Town",203,75,,,No,,417,Cash,41,3.5,4.3,Saturday,July
2024-07-21,15:21:00,CNR5880364706,Success,CID335580,"Prime Sedan",Malleshwaram,"Ramamurthy Nagar",245,140,,,No,,142,Cash,32,3.2,4.4,Sunday,July
2024-07-15,21:56:00,CNR9949660160,Success,CID689662,"Prime Sedan",Kengeri,"HSR Layout",77,130,,,No,,313,UPI,44,5,4.2,Monday,July
2024-07-13,07:00:00,CNR1172659363,Success,CID829746,Bike,"Mysore Road",Kammanahalli,63,125,,,No,,329,UPI,22,4.9,4.2,Saturday,July
2024-07-07,03:36:00,CNR9845432290,Success,CID513429,Bike,Marathahalli,"BTM Layout",224,115,,,No,,352,Cash,1,4.3,4.4,Sunday,July
2024-07-10,23:59:00,CNR4267059838,Success,CID410527,Bike,"BTM Layout",Koramangala,175,100,,,No,,2605,"Debit Card",3,3.6,3.4,Wednesday,July
2024-07-11,17:39:00,CNR9552644309,Success,CID130805,"Prime Sedan","BTM Layout","Hosur Road",308,80,,,No,,328,UPI,26,3.6,3.7,Thursday,July
2024-07-04,03:24:00,CNR2058156875,Success,CID335017,Mini,Jayanagar,Kammanahalli,77,115,,,No,,466,Cash,32,4.7,3.4,Thursday,July
2024-07-20,23:01:00,CNR2653414085,Success,CID224600,"Prime Sedan",Bellandur,"Tumkur Road",133,145,,,Yes,"Other Issue",257,UPI,43,4.2,4.8,Saturday,July
2024-07-14,15:29:00,CNR4454305498,Success,CID421204,Auto,"Sahakar Nagar","Richmond Town",168,95,,,No,,130,UPI,17,3.4,3.7,Sunday,July
2024-07-28,11:49:00,CNR1453345115,Success,CID176586,Mini,Hebbal,"Mysore Road",168,75,,,No,,317,Cash,34,3.4,4.5,Sunday,July
2024-07-10,12:48:00,CNR7079606369,Success,CID916561,"Prime SUV",Jayanagar,"Ramamurthy Nagar",119,95,,,No,,186,"Debit Card",6,4.7,4.3,Wednesday,July
2024-07-07,22:08:00,CNR4328813330,Success,CID894813,Mini,Kammanahalli,Shantinagar,35,40,,,Yes,"Vehicle Breakdown",175,Cash,9,3.1,3.3,Sunday,July
2024-07-01,18:19:00,CNR5062667829,Success,CID288025,"Prime Plus",Chamarajpet,"Magadi Road",224,35,,,No,,2682,UPI,24,4,4.3,Monday,July
2024-07-12,09:21:00,CNR8007607550,Success,CID599646,Mini,Shivajinagar,Indiranagar,84,50,,,No,,224,Cash,13,3,3.9,Friday,July
2024-07-16,12:32:00,CNR2533840084,Success,CID376905,Auto,"RT Nagar",Malleshwaram,238,110,,,No,,596,Cash,19,3.9,4.9,Tuesday,July
2024-07-11,05:38:00,CNR7170117432,Success,CID648249,"Prime Sedan","Sarjapur Road",Devanahalli,280,100,,,No,,744,UPI,28,3.1,4.5,Thursday,July
2024-07-09,15:08:00,CNR9259065679,Success,CID518783,Auto,"RT Nagar","MG Road",42,75,,,No,,413,"Credit Card",5,4.6,4.8,Tuesday,July
2024-07-12,14:15:00,CNR4024297725,Success,CID914988,"Prime SUV","Sarjapur Road","Sahakar Nagar",154,30,,,No,,479,UPI,11,3.6,4.5,Friday,July
2024-07-20,18:23:00,CNR9114169129,Success,CID573786,"Prime Sedan",Ulsoor,Yeshwanthpur,161,45,,,No,,596,Cash,6,4.3,4.1,Saturday,July
2024-07-05,10:23:00,CNR9180382961,Success,CID284152,Mini,Whitefield,"Hosur Road",98,95,,,No,,739,Cash,47,4.2,4.6,Friday,July
2024-07-19,13:57:00,CNR5052167687,Success,CID162761,"Prime Sedan",Shantinagar,"Langford Town",168,65,,,No,,155,UPI,1,4.4,4.9,Friday,July
2024-07-01,03:43:00,CNR6007593627,Success,CID960116,Bike,"BTM Layout",Marathahalli,133,30,,,No,,126,UPI,2,4.4,3.2,Monday,July
2024-07-28,08:02:00,CNR3395806981,Success,CID201733,"Prime Sedan","Electronic City",Rajajinagar,196,95,,,No,,308,Cash,27,4.2,3.4,Sunday,July
2024-07-01,18:22:00,CNR9254971023,Success,CID779726,Bike,Hennur,"Electronic City",294,60,,,No,,344,Cash,12,4.2,3.7,Monday,July
2024-07-17,05:11:00,CNR7289738521,Success,CID668642,Bike,"KR Puram",Rajajinagar,84,110,,,No,,821,Cash,9,4.6,3.4,Wednesday,July
2024-07-27,12:15:00,CNR3258551735,Success,CID168709,"Prime Plus",Kadugodi,"Mysore Road",273,30,,,No,,961,Cash,21,3.6,4.3,Saturday,July
2024-07-13,18:06:00,CNR8185320716,Success,CID714524,"Prime Sedan",Hebbal,Varthur,147,125,,,No,,458,Cash,24,4.3,3.7,Saturday,July
2024-07-12,06:18:00,CNR2871885642,Success,CID709700,Bike,"Richmond Town",Chamarajpet,42,110,,,No,,437,Cash,17,4.9,4.5,Friday,July
2024-07-29,02:47:00,CNR2401312228,Success,CID816011,"Prime Plus",Kengeri,Koramangala,112,40,,,No,,295,UPI,10,3.9,4.5,Monday,July
2024-07-14,22:01:00,CNR3208388696,Success,CID314116,Mini,Shivajinagar,Shivajinagar,98,135,,,No,,178,Cash,43,4.7,4.8,Sunday,July
2024-07-16,03:49:00,CNR1310339881,Success,CID520944,"Prime Plus","Magadi Road",Banashankari,280,30,,,No,,169,UPI,11,3.5,4.4,Tuesday,July
2024-07-14,21:53:00,CNR8856257713,Success,CID444715,Bike,"Langford Town",Hennur,301,50,,,No,,387,Cash,17,4.2,5,Sunday,July
2024-07-04,14:44:00,CNR4839110327,Success,CID625295,Auto,Chamarajpet,"RT Nagar",301,50,,,No,,2980,Cash,15,3.7,3.6,Thursday,July
2024-07-06,19:17:00,CNR6027083957,Success,CID436831,Mini,Marathahalli,"Langford Town",224,30,,,No,,1810,UPI,12,3.6,4.4,Saturday,July
2024-07-24,16:17:00,CNR4045796396,Success,CID921524,Bike,Marathahalli,Whitefield,182,25,,,No,,258,Cash,7,4,4.3,Wednesday,July
2024-07-23,18:07:00,CNR9849132240,Success,CID392429,"Prime Plus",Malleshwaram,"RT Nagar",245,130,,,No,,1027,"Debit Card",38,4.2,4.5,Tuesday,July
2024-07-21,13:57:00,CNR6511293931,Success,CID230212,"Prime SUV",Rajajinagar,Chickpet,105,135,,,No,,277,Cash,3,3.9,3.6,Sunday,July
2024-07-04,12:07:00,CNR1830440550,Success,CID627045,"Prime Sedan",Hebbal,Hulimavu,126,50,,,No,,998,Cash,2,3.7,4.1,Thursday,July
2024-07-03,17:12:00,CNR4113371611,Success,CID712731,"Prime Sedan","JP Nagar",Koramangala,161,75,,,No,,326,UPI,23,3.5,4.9,Wednesday,July
2024-07-16,06:34:00,CNR6761339980,Success,CID802967,"Prime Sedan",Majestic,"Sarjapur Road",98,70,,,No,,1470,UPI,48,4.6,4.1,Tuesday,July
2024-07-15,20:05:00,CNR8416240629,Success,CID517934,Auto,Kadugodi,Marathahalli,273,65,,,No,,1426,Cash,8,3.6,4.8,Monday,July
2024-07-13,23:13:00,CNR5130683256,Success,CID705237,Mini,Koramangala,Chickpet,175,45,,,No,,167,UPI,15,5,4.9,Saturday,July
2024-07-08,07:54:00,CNR7818921716,Success,CID754102,Bike,"Langford Town","Mysore Road",182,85,,,No,,120,UPI,40,4.6,3.6,Monday,July
2024-07-09,02:43:00,CNR5476321319,Success,CID304268,Bike,Kengeri,Shantinagar,224,85,,,No,,380,Cash,44,4.1,3,Tuesday,July
2024-07-25,07:24:00,CNR2934842451,Success,CID475800,Auto,"Electronic City",Peenya,273,30,,,Yes,"Customer Demand",368,"Debit Card",5,3.7,4.6,Thursday,July
2024-07-28,11:51:00,CNR6240123676,Success,CID334326,"Prime Sedan","BTM Layout",Shantinagar,266,40,,,No,,194,Cash,26,3.1,3.3,Sunday,July
2024-07-29,23:23:00,CNR4857774552,Success,CID597438,"Prime SUV",Padmanabhanagar,"Ramamurthy Nagar",301,135,,,No,,719,UPI,44,3.1,4.6,Monday,July
2024-07-13,12:36:00,CNR4691581156,Success,CID415008,eBike,Chamarajpet,"Electronic City",133,55,,,No,,902,Cash,23,3.8,4.6,Saturday,July
2024-07-24,01:05:00,CNR7716149211,Success,CID919577,"Prime Sedan",Ulsoor,"BTM Layout",175,55,,,No,,477,UPI,10,3.2,4,Wednesday,July
2024-07-26,06:06:00,CNR9425002336,Success,CID397407,Bike,Rajajinagar,Shantinagar,189,30,,,No,,1524,UPI,49,4.2,3.3,Friday,July
2024-07-04,19:54:00,CNR8487846604,Success,CID286238,"Prime SUV","Hosur Road",Banashankari,98,65,,,No,,306,"Credit Card",12,3,4.2,Thursday,July
2024-07-20,06:32:00,CNR4371386066,Success,CID276966,Auto,"Sahakar Nagar","Richmond Town",161,25,,,No,,125,Cash,3,4.2,3.9,Saturday,July
2024-07-17,17:01:00,CNR3584821113,Success,CID288515,"Prime SUV","Ramamurthy Nagar","BTM Layout",175,100,,,No,,423,Cash,32,4.4,3.7,Wednesday,July
2024-07-12,19:19:00,CNR6664805668,Success,CID873791,eBike,Jayanagar,Malleshwaram,63,85,,,No,,143,UPI,49,3.8,4.3,Friday,July
2024-07-16,11:31:00,CNR8893328116,Success,CID325449,Auto,"Mysore Road","Bannerghatta Road",287,100,,,Yes,"Customer Demand",488,Cash,4,4.3,4.9,Tuesday,July
2024-07-02,16:59:00,CNR5820999723,Success,CID950599,"Prime SUV","Hosur Road","KR Puram",231,75,,,No,,366,Cash,31,3.3,3.8,Tuesday,July
2024-07-25,05:32:00,CNR1317065602,Success,CID364220,"Prime Plus",Kadugodi,Marathahalli,266,45,,,No,,2921,UPI,35,3.9,4.9,Thursday,July
2024-07-21,09:10:00,CNR8109056277,Success,CID515459,Mini,Basavanagudi,Shantinagar,224,125,,,No,,668,Cash,35,4.6,3.3,Sunday,July
2024-07-14,20:26:00,CNR9748509650,Success,CID433437,Mini,Hebbal,Whitefield,84,135,,,No,,485,UPI,38,3.4,4,Sunday,July
2024-07-16,15:20:00,CNR3910431622,Success,CID802650,Bike,Hebbal,Devanahalli,301,130,,,No,,476,UPI,26,3.3,4.7,Tuesday,July
2024-07-07,05:52:00,CNR2815000110,Success,CID520929,Mini,"Sahakar Nagar","RT Nagar",56,95,,,No,,1346,UPI,49,3.3,3.3,Sunday,July
2024-07-27,10:41:00,CNR9546255964,Success,CID894167,"Prime Sedan",Rajajinagar,"HSR Layout",224,125,,,No,,387,UPI,33,3.7,4.5,Saturday,July
2024-07-28,21:03:00,CNR3348869817,Success,CID602088,"Prime Sedan",Hebbal,Kadugodi,126,35,,,No,,159,UPI,25,4.8,3.7,Sunday,July
2024-07-13,01:57:00,CNR9123712140,Success,CID163091,Mini,Jayanagar,Chickpet,98,85,,,No,,110,UPI,27,4.6,3.5,Saturday,July
2024-07-21,02:58:00,CNR6294148299,Success,CID273929,"Prime Plus",Peenya,Nagarbhavi,252,100,,,No,,125,UPI,46,4.2,3.5,Sunday,July
2024-07-27,03:18:00,CNR5460978884,Success,CID384509,Auto,Malleshwaram,"Langford Town",56,25,,,No,,782,Cash,19,4.6,3.9,Saturday,July
